Category,Line Item,Amount USD
Hard,Clearing & grading,"31,200"
Hard,Asphalt pavement,"65,823"
Hard,Curb & gutter,"28,644"
Hard,Storm sewer,"37,107"
Hard,Storm inlets (8 ea),"28,000"
Hard,Detention pond grading,"23,600"
Hard,Detention outfall,"25,000"
Hard,Water main,"35,805"
Hard,Fire hydrants (3 ea),"16,500"
Hard,Water services,"48,600"
Hard,Sewer main,"48,825"
Hard,Sewer manholes (4 ea),"18,000"
Hard,Sewer services,"40,500"
Hard,Dry utilities,"94,500"
Hard,Sidewalks,"36,456"
Hard,Street lighting (5 ea),"22,500"
Hard,Signage & striping,"9,450"
Hard,Contingency,"91,577"
Soft,Engineering & surveying,"70,209"
Soft,Permit & plat fees,"22,950"
Soft,Geotech / environmental,"18,000"
Soft,Drainage study (HCID),"22,000"
Soft,Construction management,"35,104"
Soft,Soft cost other (legal/title),"28,083"
Carry,Loan interest,"114,642"
Carry,Property tax,"14,609"
Land,Combined land basis,"425,000"
,TOTAL ALL-IN,"1,452,685"
,PER-LOT ALL-IN,"53,803"
