Category,Line Item,Amount USD
Land,Subject ($385K) + Stonecrest ($40K cap),"$425,000"
Land,Closing costs (1.5%),"$6,375"
Dev,"Horizontal dev cost (27 lots × $41,200/lot)","$1,112,200"
,TOTAL ALL-IN,"$1,543,575"
,PER-LOT ALL-IN,"$57,169"

Revenue (assumption),"Lot retail $55,000 × 27","$1,485,000"
,Commission (6%),"$89,100"
,Marketing (1%),"$14,850"
,NET REVENUE,"$1,381,050"

Result,Gross profit,"$-162,525"
Result,Gross margin %,-11.8%
Result,Profit per lot,"$-6,019"
Result,Annualized return,-4.7%
